variant,script,stratum,metric,value,n_sets,notes
causal,scan_position.py,irrelevant,curve_range,3.09,300,"worst-best mean output rank across input positions 0..24"
causal,scan_position.py,irrelevant,best_rank,9.83,300,
causal,scan_position.py,irrelevant,worst_rank,12.92,300,
causal,scan_position.py,irrelevant,best_into_top5,0.317,300,"fraction of c* for which SOME input position achieves output rank < 5"
causal,scan_position.py,irrelevant,best_into_top1,0.073,300,
causal,scan_position.py,strong_pos,curve_range,2.93,300,
causal,scan_position.py,strong_pos,best_rank,2.22,300,
causal,scan_position.py,strong_pos,worst_rank,5.15,300,
causal,scan_position.py,strong_pos,best_into_top5,0.923,300,
causal,scan_position.py,strong_pos,best_into_top1,0.623,300,"being placed FIRST is often the WORST position even for a true positive"
invariant,scan_position.py,irrelevant,curve_range,0.06,300,
invariant,scan_position.py,irrelevant,best_rank,12.27,300,
invariant,scan_position.py,irrelevant,worst_rank,12.33,300,
invariant,scan_position.py,irrelevant,best_into_top5,0.150,300,"this is the CONTENT-ONLY base rate (position is invariant, so best=only value)"
invariant,scan_position.py,irrelevant,best_into_top1,0.003,300,
invariant,scan_position.py,strong_pos,curve_range,0.04,300,
invariant,scan_position.py,strong_pos,best_rank,3.17,300,
invariant,scan_position.py,strong_pos,worst_rank,3.20,300,
invariant,scan_position.py,strong_pos,best_into_top5,0.713,300,
invariant,scan_position.py,strong_pos,best_into_top1,0.253,300,
causal,adversarial_perm.py (R=50),irrelevant,typical_rank,13.29,300,"mean rank over R=50 random full permutations (attack-free baseline)"
causal,adversarial_perm.py (R=50),irrelevant,adv_rank,9.95,300,"best (min) rank achieved over the R permutations (attacker's result)"
causal,adversarial_perm.py (R=50),irrelevant,rank_gain,3.34,300,typical_rank - adv_rank
causal,adversarial_perm.py (R=50),irrelevant,into_top5,0.273,300,
causal,adversarial_perm.py (R=50),irrelevant,into_top1,0.083,300,
causal,adversarial_perm.py (R=50),irrelevant,promo_at_5,0.120,300,"fraction with typical_rank>=5 AND adv_rank<5 -- the core manufactured-exposure metric"
causal,adversarial_perm.py (R=50),strong_pos,typical_rank,2.82,300,
causal,adversarial_perm.py (R=50),strong_pos,adv_rank,1.07,300,
causal,adversarial_perm.py (R=50),strong_pos,rank_gain,1.75,300,
causal,adversarial_perm.py (R=50),strong_pos,into_top5,0.933,300,
causal,adversarial_perm.py (R=50),strong_pos,into_top1,0.630,300,
causal,adversarial_perm.py (R=50),strong_pos,promo_at_5,0.117,300,
invariant,adversarial_perm.py (R=50),irrelevant,typical_rank,13.30,300,
invariant,adversarial_perm.py (R=50),irrelevant,adv_rank,13.09,300,
invariant,adversarial_perm.py (R=50),irrelevant,rank_gain,0.22,300,
invariant,adversarial_perm.py (R=50),irrelevant,into_top5,0.157,300,
invariant,adversarial_perm.py (R=50),irrelevant,into_top1,0.017,300,
invariant,adversarial_perm.py (R=50),irrelevant,promo_at_5,0.000,300,
invariant,adversarial_perm.py (R=50),strong_pos,typical_rank,3.08,300,
invariant,adversarial_perm.py (R=50),strong_pos,adv_rank,2.96,300,
invariant,adversarial_perm.py (R=50),strong_pos,rank_gain,0.11,300,
invariant,adversarial_perm.py (R=50),strong_pos,into_top5,0.750,300,
invariant,adversarial_perm.py (R=50),strong_pos,into_top1,0.203,300,
invariant,adversarial_perm.py (R=50),strong_pos,promo_at_5,0.000,300,
causal,greedy_attack.py (R=50 fav_pos=5),irrelevant,typical_rank,12.58,300,"greedy = c* placed at hypothesized sweet-spot position + competitors sorted worst-first around it"
causal,greedy_attack.py (R=50 fav_pos=5),irrelevant,random_adv_rank,9.17,300,"same metric as adversarial_perm.py's adv_rank on this sub-run"
causal,greedy_attack.py (R=50 fav_pos=5),irrelevant,greedy_adv_rank,12.61,300,"GREEDY UNDERPERFORMED RANDOM SEARCH -- the sweet spot found in RQ1 is specific to the identity-order competitive context and does not transfer once competitors are rearranged. Used as evidence that budget-R random search is a conservative lower bound, not the paper's primary attacker."
causal,greedy_attack.py (R=50 fav_pos=5),irrelevant,into5_random,0.310,300,
causal,greedy_attack.py (R=50 fav_pos=5),irrelevant,into5_greedy,0.183,300,
causal,content_vs_position.py (fav_pos=5),irrelevant,position_effect_ranks,1.86,300,"avg rank improvement from moving c* to the favorable position, holding content fixed"
causal,content_vs_position.py (fav_pos=5),irrelevant,content_effect_ranks,0.33,300,"avg rank improvement from injecting the user's top history genre into c*, holding position fixed"
causal,content_vs_position.py (fav_pos=5),irrelevant,interaction_ranks,0.02,300,"near-zero: position and content effects are approximately additive/independent"
causal,content_vs_position.py (fav_pos=5),irrelevant,baseline_rank,12.32,300,
causal,pointwise_eval.py,all,ndcg_at_5,0.6482,500 (queries),"each candidate scored alone (own prompt), using the causal adapter -- inference-mode ablation, not a separately trained model"
causal,pointwise_eval.py,all,ndcg_at_10,0.7628,500,
causal,pointwise_eval.py,all,hr_at_10,1.0,500,
causal,pointwise_eval.py,all,avg_forwards_per_query,25,500,"= K, the cost of pointwise scoring"
