model,R,promo,ci_lo,ci_hi
causal,1,0.0233,0.0067,0.0400
causal,5,0.0667,0.0400,0.0967
causal,10,0.0900,0.0600,0.1233
causal,20,0.1033,0.0700,0.1400
causal,50,0.1200,0.0833,0.1600
ListT5,1,0.0067,,
ListT5,5,0.0300,,
ListT5,10,0.0400,,
ListT5,20,0.0467,,
ListT5,50,0.0567,,
invariant,1,0.0000,0.0000,0.0000
invariant,5,0.0000,0.0000,0.0000
invariant,10,0.0000,0.0000,0.0000
invariant,20,0.0000,0.0000,0.0000
invariant,50,0.0000,0.0000,0.0000
pointwise,1,0.0000,0.0000,0.0000
pointwise,5,0.0000,0.0000,0.0000
pointwise,10,0.0000,0.0000,0.0000
pointwise,20,0.0000,0.0000,0.0000
pointwise,50,0.0000,0.0000,0.0000
