file,stratum,R,metric,point,ci_lo,ci_hi,n_sets,n_targets
adv_lft_curve,irrelevant,1,promotion_into_top5,0.0267,0.0100,0.0467,300,300
adv_lft_curve,irrelevant,1,rank_gain_adv,-0.0666,-0.2273,0.0943,300,300
adv_lft_curve,irrelevant,1,weak_into_top5,0.1233,0.0867,0.1600,300,300
adv_lft_curve,irrelevant,5,promotion_into_top5,0.0567,0.0333,0.0833,300,300
adv_lft_curve,irrelevant,5,rank_gain_adv,1.7101,1.5341,1.8954,300,300
adv_lft_curve,irrelevant,5,weak_into_top5,0.1733,0.1300,0.2167,300,300
adv_lft_curve,irrelevant,10,promotion_into_top5,0.0933,0.0633,0.1267,300,300
adv_lft_curve,irrelevant,10,rank_gain_adv,2.3634,2.1778,2.5566,300,300
adv_lft_curve,irrelevant,10,weak_into_top5,0.2100,0.1667,0.2567,300,300
adv_lft_curve,irrelevant,20,promotion_into_top5,0.1300,0.0933,0.1700,300,300
adv_lft_curve,irrelevant,20,rank_gain_adv,2.8268,2.6283,3.0308,300,300
adv_lft_curve,irrelevant,20,weak_into_top5,0.2467,0.1967,0.2967,300,300
adv_lft_curve,irrelevant,50,promotion_into_top5,0.1633,0.1233,0.2067,300,300
adv_lft_curve,irrelevant,50,rank_gain_adv,3.4434,3.2249,3.6700,300,300
adv_lft_curve,irrelevant,50,weak_into_top5,0.2800,0.2300,0.3300,300,300
adv_lft_curve,irrelevant,100,promotion_into_top5,0.1800,0.1367,0.2233,300,300
adv_lft_curve,irrelevant,100,rank_gain_adv,3.7968,3.5643,4.0251,300,300
adv_lft_curve,irrelevant,100,weak_into_top5,0.2967,0.2467,0.3500,300,300
adv_invarirank_curve,irrelevant,1,promotion_into_top5,0.0000,0.0000,0.0000,300,300
adv_invarirank_curve,irrelevant,1,rank_gain_adv,-0.0056,-0.0289,0.0163,300,300
adv_invarirank_curve,irrelevant,1,weak_into_top5,0.1133,0.0800,0.1500,300,300
adv_invarirank_curve,irrelevant,5,promotion_into_top5,0.0000,0.0000,0.0000,300,300
adv_invarirank_curve,irrelevant,5,rank_gain_adv,0.0777,0.0546,0.1030,300,300
adv_invarirank_curve,irrelevant,5,weak_into_top5,0.1133,0.0800,0.1500,300,300
adv_invarirank_curve,irrelevant,10,promotion_into_top5,0.0033,0.0000,0.0100,300,300
adv_invarirank_curve,irrelevant,10,rank_gain_adv,0.1144,0.0845,0.1462,300,300
adv_invarirank_curve,irrelevant,10,weak_into_top5,0.1167,0.0833,0.1533,300,300
adv_invarirank_curve,irrelevant,20,promotion_into_top5,0.0033,0.0000,0.0100,300,300
adv_invarirank_curve,irrelevant,20,rank_gain_adv,0.1344,0.1018,0.1698,300,300
adv_invarirank_curve,irrelevant,20,weak_into_top5,0.1167,0.0833,0.1533,300,300
adv_invarirank_curve,irrelevant,50,promotion_into_top5,0.0033,0.0000,0.0100,300,300
adv_invarirank_curve,irrelevant,50,rank_gain_adv,0.1644,0.1275,0.2044,300,300
adv_invarirank_curve,irrelevant,50,weak_into_top5,0.1167,0.0800,0.1533,300,300
adv_invarirank_curve,irrelevant,100,promotion_into_top5,0.0033,0.0000,0.0100,300,300
adv_invarirank_curve,irrelevant,100,rank_gain_adv,0.1977,0.1560,0.2417,300,300
adv_invarirank_curve,irrelevant,100,weak_into_top5,0.1167,0.0833,0.1533,300,300
