model_tag,hf_model_id,domain,tau_kendall,promo_at_5_irrelevant
qwen3-0.6b,Qwen/Qwen3-0.6B,movielens,0.8554,0.130
qwen3-1.7b,Qwen/Qwen3-1.7B,movielens,0.8672,0.100
qwen3-4b,Qwen/Qwen3-4B,movielens,0.8674,0.100
qwen3-8b,Qwen/Qwen3-8B,movielens,0.8828,0.097
qwen3-14b,Qwen/Qwen3-14B,movielens,0.8583,0.140
llama8b,meta-llama/Llama-3.1-8B-Instruct,movielens,0.8793,0.113
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,movielens,0.8626,0.147
llama3b_anchor,meta-llama/Llama-3.2-3B-Instruct,movielens,0.8451,0.120
qwen3-0.6b,Qwen/Qwen3-0.6B,amazon_books,0.5591,0.497
qwen3-1.7b,Qwen/Qwen3-1.7B,amazon_books,0.5882,0.427
qwen3-4b,Qwen/Qwen3-4B,amazon_books,0.5628,0.497
qwen3-8b,Qwen/Qwen3-8B,amazon_books,0.5449,0.570
qwen3-14b,Qwen/Qwen3-14B,amazon_books,0.5509,0.477
llama8b,meta-llama/Llama-3.1-8B-Instruct,amazon_books,0.5647,0.497
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,amazon_books,0.5467,0.540
llama3b_anchor,meta-llama/Llama-3.2-3B-Instruct,amazon_books,0.5631,0.480
qwen3-0.6b,Qwen/Qwen3-0.6B,amazon_fashion,0.6412,0.353
qwen3-1.7b,Qwen/Qwen3-1.7B,amazon_fashion,0.7060,0.227
qwen3-4b,Qwen/Qwen3-4B,amazon_fashion,0.6511,0.387
qwen3-8b,Qwen/Qwen3-8B,amazon_fashion,0.6879,0.317
qwen3-14b,Qwen/Qwen3-14B,amazon_fashion,0.6890,0.273
llama8b,meta-llama/Llama-3.1-8B-Instruct,amazon_fashion,0.7021,0.270
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,amazon_fashion,0.6729,0.267
llama3b_anchor,meta-llama/Llama-3.2-3B-Instruct,amazon_fashion,0.6612,0.297
