defense,domain,ndcg_at_10,promo_at_5_irrelevant,tau_kendall,curve_range_irrelevant,exact_invariant,source,notes
baseline_causal,movielens,0.8287,0.120,0.8451,3.09,no,results_by_model_dataset.csv,anchor Llama-3.2-3B
baseline_causal,amazon_books,0.6177,0.480,0.5631,6.62,no,results_by_model_dataset.csv,anchor
baseline_causal,amazon_fashion,0.4486,0.297,0.6612,4.12,no,results_by_model_dataset.csv,anchor
architectural_invariance,movielens,0.7840,0.000,0.9916,0.06,yes,results_by_model_dataset.csv,anchor invariant
architectural_invariance,amazon_books,0.5096,0.000,0.9895,0.06,yes,results_by_model_dataset.csv,anchor invariant
architectural_invariance,amazon_fashion,0.4235,0.003,0.9842,0.06,yes,results_by_model_dataset.csv,anchor invariant
permutation_consistency_kl,movielens,0.7770,0.007,0.9834,0.21,approx,defense_matrix.csv,B2 (lambda_perm=1, 2 perms)
permutation_consistency_kl,amazon_books,0.5517,0.067,0.9124,1.16,approx,pb-eval1-33755274 (B6),def_books_permkl
permutation_consistency_kl,amazon_fashion,0.4241,0.047,0.9343,0.65,approx,pb-eval1-33755285 (B6),def_fashion_permkl
pointwise_reference,movielens,0.7628,0.000,1.0,0.0,yes,defense_matrix.csv,invariant by construction; O(K) cost
pointwise_reference,amazon_books,,0.000,1.0,0.0,yes,by construction,not separately measured cross-domain (promo@5=0 by construction)
pointwise_reference,amazon_fashion,,0.000,1.0,0.0,yes,by construction,not separately measured cross-domain (promo@5=0 by construction)
